펀드명,펀드유형,설정일,펀드코드,운용보수,판매보수,수탁보수,사무관리보수,보수합계,유사유형평균보수율,기타비용,TER,선취수수료,후취수수료,매매중개수수료율
교보악사파워K-주주가치액티브증권상장지수투자신탁[주식],주식형,2024-09-23,K55207EE5208,0.35,0.025,0.015,0.015,0.405,0.4191,0.07,0.47,0,0,0.1009
교보악사파워K100증권상장지수투자신탁[주식],주식형,2011-04-28,KR5207A24857,0.11,0.01,0.01,0.025,0.155,0.4191,0.02,0.18,0,0,0.0232
교보악사파워K200증권상장지수투자신탁(주식),주식형,2012-02-10,KR5207A82418,0.1,0.01,0.01,0.025,0.145,0.4191,0.02,0.17,0,0,0.0081
교보악사파워고배당저변동성증권상장지수투자신탁[주식],주식형,2014-02-19,KR5207AN0410,0.17,0.01,0.02,0.03,0.23,0.4191,0.02,0.25,0,0,0.0981
교보악사파워종합채권(AA-이상)액티브증권상장지수투자신탁[채권],채권형,2024-11-25,K55207EF7450,0.025,0.001,0.005,0.005,0.036,0.1248,0.02,0.06,0,0,0.0236
대신DAISHINAI반도체&인프라액티브증권상장지수투자신탁[주식],주식형,2024-06-17,K55203EA9349,0.31,0.01,0.02,0.02,0.36,0.4191,0.05,0.41,0,0,0.0935
대신DAISHINK200증권상장지수투자신탁[주식],주식형,2022-06-27,K55203DT1106,0.07,0.01,0.01,0.01,0.1,0.4191,0.04,0.14,0,0,0.0121
대신DAISHIN금융&지주고배당증권상장지수투자신탁[주식],주식형,2026-06-08,K55203ET6310,0.2,0.01,0.015,0.015,0.24,0.4191,0.02,0.26,0,0,0.0047
대신DAISHIN오피스리츠플러스부동산상장지수투자신탁[재간접형],부동산,2026-03-30,K55203EP7502,0.15,0.01,0.015,0.015,0.19,0.5799,0.09,0.28,0,0,0.0172
더제이더제이중소형포커스액티브증권상장지수투자신탁[주식],주식형,2025-07-21,K553H6EK8245,0.6,0.05,0.02,0.015,0.685,0.4191,0.14,0.82,0,0,0.215
DB마이티200TotalReturn증권상장지수투자신탁[주식],주식형,2025-10-24,K55216EP3761,0.029,0.001,0.01,0.01,0.05,0.4191,0.04,0.09,0,0,0.0121
DB마이티26-09특수채(AAA)액티브증권상장지수투자신탁[채권],채권형,2023-09-18,K55216E57284,0.049,0.001,0.005,0.005,0.06,0.1248,0.02,0.08,0,0,0.0007
DB마이티5월만기자동연장특수채(AAA)액티브증권상장지수투자신탁[채권],채권형,2026-06-01,K55216EV7079,0.049,0.001,0.005,0.005,0.06,0.1248,0.01,0.07,0,0,0.0007
DB마이티AI데이터센터밸류체인증권상장지수투자신탁[주식],주식형,2026-08-03,K55216EX5527,0.3,0.03,0.02,0.015,0.365,0.4191,0,0.37,0,0,0.0008
DB마이티K100증권상장지수투자신탁[주식],주식형,2012-07-04,KR5216AB3979,0.3,0.04,0.02,0.015,0.375,0.4191,0.01,0.39,0,0,0.0165
